gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ANA202104010,gioll001,CHA,1,value,16,0,20,2,0,0,1,2,2,2,0,8,0,0,0,0,0,0,0,0,,,,1,,,20210401,0,ANA01,v,ANA,0,1,0,regular,y,y
ANA202104010,heuec001,CHA,2,value,5,0,7,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20210401,0,ANA01,v,ANA,0,1,0,regular,y,y
ANA202104010,bumma001,CHA,3,value,2,0,6,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,,1,,,,,20210401,0,ANA01,v,ANA,0,1,0,regular,y,y
ANA202104010,fostm001,CHA,4,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20210401,0,ANA01,v,ANA,0,1,0,regular,y,y
ANA202104010,bundd001,ANA,1,value,18,0,25,6,2,0,1,3,3,1,0,6,0,1,0,0,0,1,0,0,,,,1,,,20210401,0,ANA01,h,CHA,1,0,0,regular,y,y
ANA202104010,slega001,ANA,2,value,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,20210401,0,ANA01,h,CHA,1,0,0,regular,y,y
ANA202104010,mayem001,ANA,3,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,20210401,0,ANA01,h,CHA,1,0,0,regular,y,y
ANA202104010,igler001,ANA,4,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,1,,1,,20210401,0,ANA01,h,CHA,1,0,0,regular,y,y
CHN202104010,kuhlc001,PIT,1,value,9,0,14,1,1,0,0,2,1,3,0,2,0,0,0,1,2,1,0,0,,,,1,,,20210401,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN202104010,unded001,PIT,2,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20210401,0,CHI11,v,CHN,1,0,0,regular,y,y
